2024-01-28 15:01:152 INFO  HomePage :28 - Click on accept all cookies: [[ChromeDriver: chrome on windows (84698211967c7261e8c40eb4b050c42b)] -> css selector: label[for='privacy_pref_optin']]
2024-01-28 15:01:188 INFO  HomePage :32 - Verify Welcome message on homepage: [[ChromeDriver: chrome on windows (84698211967c7261e8c40eb4b050c42b)] -> xpath: //h1[normalize-space()='Welcome to Virgin Games']]
2024-01-28 15:01:466 INFO  HomePage :38 - Click on Casino Tab: [[ChromeDriver: chrome on windows (84698211967c7261e8c40eb4b050c42b)] -> link text: Casino]
2024-01-28 15:01:810 INFO  HomePage :42 - verify popular online casino games message: [[ChromeDriver: chrome on windows (84698211967c7261e8c40eb4b050c42b)] -> css selector: body > div:nth-child(3) > div:nth-child(1) > div:nth-child(2) > section:nth-child(6) > h2:nth-child(1)]
2024-01-28 21:01:873 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-01-28 21:01:96 INFO  HomePage :28 - Click on accept all cookies: [[ChromeDriver: chrome on windows (5a477ac526341c741f2ff64b9b50ab64)] -> css selector: label[for='privacy_pref_optin']]
2024-01-28 21:01:125 INFO  HomePage :32 - Verify Welcome message on homepage: [[ChromeDriver: chrome on windows (5a477ac526341c741f2ff64b9b50ab64)] -> xpath: //h1[normalize-space()='Welcome to Virgin Games']]
2024-01-28 21:01:327 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-01-28 21:01:754 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-01-28 21:01:136 INFO  HomePage :28 - Click on accept all cookies: [[ChromeDriver: chrome on windows (b22f576b81c968eed74ceb69c682585a)] -> css selector: label[for='privacy_pref_optin']]
2024-01-28 21:01:175 INFO  HomePage :32 - Verify Welcome message on homepage: [[ChromeDriver: chrome on windows (b22f576b81c968eed74ceb69c682585a)] -> xpath: //h1[normalize-space()='Welcome to Virgin Games']]
2024-01-28 21:01:251 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-01-28 21:01:418 INFO  HomePage :28 - Click on accept all cookies: [[ChromeDriver: chrome on windows (2c14c9946b93de018bd6fb1fca241170)] -> css selector: label[for='privacy_pref_optin']]
2024-01-28 21:01:764 INFO  HomePage :38 - Click on Casino Tab: [[ChromeDriver: chrome on windows (2c14c9946b93de018bd6fb1fca241170)] -> link text: Casino]
2024-01-28 21:01:883 INFO  HomePage :42 - verify popular online casino games message: [[ChromeDriver: chrome on windows (2c14c9946b93de018bd6fb1fca241170)] -> css selector: body > div:nth-child(3) > div:nth-child(1) > div:nth-child(2) > section:nth-child(6) > h2:nth-child(1)]
2024-01-29 00:01:290 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-01-29 00:01:128 INFO  HomePage :28 - Click on accept all cookies: [[ChromeDriver: chrome on windows (148a622ec0d06eb816c2a5d9128a86cd)] -> css selector: label[for='privacy_pref_optin']]
2024-01-29 00:01:192 INFO  HomePage :32 - Verify Welcome message on homepage: [[ChromeDriver: chrome on windows (148a622ec0d06eb816c2a5d9128a86cd)] -> xpath: //h1[normalize-space()='Welcome to Virgin Games']]
2024-01-29 00:01:546 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-01-29 00:01:281 INFO  HomePage :28 - Click on accept all cookies: [[ChromeDriver: chrome on windows (298c0f39dcc7d06fde925a0cdaf39e2d)] -> css selector: label[for='privacy_pref_optin']]
2024-01-29 00:01:861 INFO  HomePage :38 - Click on Casino Tab: [[ChromeDriver: chrome on windows (298c0f39dcc7d06fde925a0cdaf39e2d)] -> link text: Casino]
2024-01-29 00:01:89 INFO  HomePage :42 - verify popular online casino games message: [[ChromeDriver: chrome on windows (298c0f39dcc7d06fde925a0cdaf39e2d)] -> css selector: body > div:nth-child(3) > div:nth-child(1) > div:nth-child(2) > section:nth-child(6) > h2:nth-child(1)]
2024-02-01 16:02:991 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-02-01 16:02:414 INFO  HomePage :37 - Click on accept all cookies: [[ChromeDriver: chrome on windows (427047b26c5b27b54a99b7683b77abac)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 16:02:447 INFO  HomePage :41 - Verify Welcome message on homepage: [[ChromeDriver: chrome on windows (427047b26c5b27b54a99b7683b77abac)] -> xpath: //h1[normalize-space()='Welcome to Virgin Games']]
2024-02-01 16:02:392 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-02-01 16:02:948 INFO  HomePage :37 - Click on accept all cookies: [[ChromeDriver: chrome on windows (64eb879cdd3df0a6c40b8326d3345e7e)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 16:02:245 INFO  HomePage :47 - Click on Casino Tab: [[ChromeDriver: chrome on windows (64eb879cdd3df0a6c40b8326d3345e7e)] -> link text: Casino]
2024-02-01 16:02:338 INFO  HomePage :51 - verify popular online casino games message: [[ChromeDriver: chrome on windows (64eb879cdd3df0a6c40b8326d3345e7e)] -> css selector: body > div:nth-child(3) > div:nth-child(1) > div:nth-child(2) > section:nth-child(6) > h2:nth-child(1)]
2024-02-01 16:02:91 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-02-01 16:02:131 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-02-01 16:02:602 INFO  HomePage :37 - Click on accept all cookies: [[ChromeDriver: chrome on windows (482d6de11c5f5e9639fd07f5172d50fb)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 16:02:662 INFO  HomePage :41 - Verify Welcome message on homepage: [[ChromeDriver: chrome on windows (482d6de11c5f5e9639fd07f5172d50fb)] -> xpath: //h1[normalize-space()='Welcome to Virgin Games']]
2024-02-01 16:02:535 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-02-01 16:02:834 INFO  HomePage :37 - Click on accept all cookies: [[ChromeDriver: chrome on windows (2413003232ed4bd02f5b7a3fd41adfff)] -> css selector: label[for='privacy_pref_optin']]
